Type,id,time_interval,constraints--BalanceConstraint,rhs_policy--CO2StorageConstraint,constraints--CO2StorageConstraint
CO2Captured,co2_captured_national_period4,CO2Captured,true,,
CO2Captured,co2_storage_national_period4,CO2Captured,false,,false
CO2Captured,co2captured_Region10Jiangsu,CO2Captured,true,,
CO2Captured,co2captured_Region11Zhejiang,CO2Captured,true,,
CO2Captured,co2captured_Region12Anhui,CO2Captured,true,,
CO2Captured,co2captured_Region13Fujian,CO2Captured,true,,
CO2Captured,co2captured_Region14Jiangxi,CO2Captured,true,,
CO2Captured,co2captured_Region15Shandong,CO2Captured,true,,
CO2Captured,co2captured_Region16Henan,CO2Captured,true,,
CO2Captured,co2captured_Region17Hubei,CO2Captured,true,,
CO2Captured,co2captured_Region18Hunan,CO2Captured,true,,
CO2Captured,co2captured_Region19Guangdong,CO2Captured,true,,
CO2Captured,co2captured_Region1Beijing,CO2Captured,true,,
CO2Captured,co2captured_Region20Guangxi,CO2Captured,true,,
CO2Captured,co2captured_Region21Hainan,CO2Captured,true,,
CO2Captured,co2captured_Region22Chongqing,CO2Captured,true,,
CO2Captured,co2captured_Region23Sichuan,CO2Captured,true,,
CO2Captured,co2captured_Region24Guizhou,CO2Captured,true,,
CO2Captured,co2captured_Region25Yunnan,CO2Captured,true,,
CO2Captured,co2captured_Region26Tibet,CO2Captured,true,,
CO2Captured,co2captured_Region27Shaanxi,CO2Captured,true,,
CO2Captured,co2captured_Region28Gansu,CO2Captured,true,,
CO2Captured,co2captured_Region29Qinghai,CO2Captured,true,,
CO2Captured,co2captured_Region2Tianjin,CO2Captured,true,,
CO2Captured,co2captured_Region30Ningxia,CO2Captured,true,,
CO2Captured,co2captured_Region31Xinjiang,CO2Captured,true,,
CO2Captured,co2captured_Region3Hebei,CO2Captured,true,,
CO2Captured,co2captured_Region4Shanxi,CO2Captured,true,,
CO2Captured,co2captured_Region5Innermongolia,CO2Captured,true,,
CO2Captured,co2captured_Region6Liaoning,CO2Captured,true,,
CO2Captured,co2captured_Region7Jilin,CO2Captured,true,,
CO2Captured,co2captured_Region8Heilongjiang,CO2Captured,true,,
CO2Captured,co2captured_Region9Shanghai,CO2Captured,true,,
CO2Captured,co2storage_Region10Jiangsu,CO2Captured,false,80650000,true
CO2Captured,co2storage_Region11Zhejiang,CO2Captured,false,0,true
CO2Captured,co2storage_Region12Anhui,CO2Captured,false,21790000,true
CO2Captured,co2storage_Region13Fujian,CO2Captured,false,0,true
CO2Captured,co2storage_Region14Jiangxi,CO2Captured,false,0,true
CO2Captured,co2storage_Region15Shandong,CO2Captured,false,54130000,true
CO2Captured,co2storage_Region16Henan,CO2Captured,false,41870000,true
CO2Captured,co2storage_Region17Hubei,CO2Captured,false,11360000,true
CO2Captured,co2storage_Region18Hunan,CO2Captured,false,50000,true
CO2Captured,co2storage_Region19Guangdong,CO2Captured,false,0,true
CO2Captured,co2storage_Region1Beijing,CO2Captured,false,26660000,true
CO2Captured,co2storage_Region20Guangxi,CO2Captured,false,0,true
CO2Captured,co2storage_Region21Hainan,CO2Captured,false,0,true
CO2Captured,co2storage_Region22Chongqing,CO2Captured,false,20000,true
CO2Captured,co2storage_Region23Sichuan,CO2Captured,false,300000,true
CO2Captured,co2storage_Region24Guizhou,CO2Captured,false,20000,true
CO2Captured,co2storage_Region25Yunnan,CO2Captured,false,20000,true
CO2Captured,co2storage_Region26Tibet,CO2Captured,false,0,true
CO2Captured,co2storage_Region27Shaanxi,CO2Captured,false,1520000,true
CO2Captured,co2storage_Region28Gansu,CO2Captured,false,1760000,true
CO2Captured,co2storage_Region29Qinghai,CO2Captured,false,33790000,true
CO2Captured,co2storage_Region2Tianjin,CO2Captured,false,140920000,true
CO2Captured,co2storage_Region30Ningxia,CO2Captured,false,1160000,true
CO2Captured,co2storage_Region31Xinjiang,CO2Captured,false,13300000,true
CO2Captured,co2storage_Region3Hebei,CO2Captured,false,56790000,true
CO2Captured,co2storage_Region4Shanxi,CO2Captured,false,110000,true
CO2Captured,co2storage_Region5Innermongolia,CO2Captured,false,6480000,true
CO2Captured,co2storage_Region6Liaoning,CO2Captured,false,32760000,true
CO2Captured,co2storage_Region7Jilin,CO2Captured,false,11780000,true
CO2Captured,co2storage_Region8Heilongjiang,CO2Captured,false,16650000,true
CO2Captured,co2storage_Region9Shanghai,CO2Captured,false,0,true
