time,subperiod_index,weight
1,9,15.0
2,9,15.0
3,9,15.0
4,9,15.0
5,9,15.0
6,9,15.0
7,9,15.0
8,9,15.0
9,9,15.0
10,9,15.0
11,9,15.0
12,9,15.0
13,9,15.0
14,9,15.0
15,9,15.0
16,9,15.0
17,9,15.0
18,9,15.0
19,9,15.0
20,9,15.0
21,9,15.0
22,9,15.0
23,9,15.0
24,9,15.0
25,43,19.0
26,43,19.0
27,43,19.0
28,43,19.0
29,43,19.0
30,43,19.0
31,43,19.0
32,43,19.0
33,43,19.0
34,43,19.0
35,43,19.0
36,43,19.0
37,43,19.0
38,43,19.0
39,43,19.0
40,43,19.0
41,43,19.0
42,43,19.0
43,43,19.0
44,43,19.0
45,43,19.0
46,43,19.0
47,43,19.0
48,43,19.0
49,68,68.0
50,68,68.0
51,68,68.0
52,68,68.0
53,68,68.0
54,68,68.0
55,68,68.0
56,68,68.0
57,68,68.0
58,68,68.0
59,68,68.0
60,68,68.0
61,68,68.0
62,68,68.0
63,68,68.0
64,68,68.0
65,68,68.0
66,68,68.0
67,68,68.0
68,68,68.0
69,68,68.0
70,68,68.0
71,68,68.0
72,68,68.0
73,130,41.0
74,130,41.0
75,130,41.0
76,130,41.0
77,130,41.0
78,130,41.0
79,130,41.0
80,130,41.0
81,130,41.0
82,130,41.0
83,130,41.0
84,130,41.0
85,130,41.0
86,130,41.0
87,130,41.0
88,130,41.0
89,130,41.0
90,130,41.0
91,130,41.0
92,130,41.0
93,130,41.0
94,130,41.0
95,130,41.0
96,130,41.0
97,164,27.0
98,164,27.0
99,164,27.0
100,164,27.0
101,164,27.0
102,164,27.0
103,164,27.0
104,164,27.0
105,164,27.0
106,164,27.0
107,164,27.0
108,164,27.0
109,164,27.0
110,164,27.0
111,164,27.0
112,164,27.0
113,164,27.0
114,164,27.0
115,164,27.0
116,164,27.0
117,164,27.0
118,164,27.0
119,164,27.0
120,164,27.0
121,185,20.0
122,185,20.0
123,185,20.0
124,185,20.0
125,185,20.0
126,185,20.0
127,185,20.0
128,185,20.0
129,185,20.0
130,185,20.0
131,185,20.0
132,185,20.0
133,185,20.0
134,185,20.0
135,185,20.0
136,185,20.0
137,185,20.0
138,185,20.0
139,185,20.0
140,185,20.0
141,185,20.0
142,185,20.0
143,185,20.0
144,185,20.0
145,206,10.0
146,206,10.0
147,206,10.0
148,206,10.0
149,206,10.0
150,206,10.0
151,206,10.0
152,206,10.0
153,206,10.0
154,206,10.0
155,206,10.0
156,206,10.0
157,206,10.0
158,206,10.0
159,206,10.0
160,206,10.0
161,206,10.0
162,206,10.0
163,206,10.0
164,206,10.0
165,206,10.0
166,206,10.0
167,206,10.0
168,206,10.0
169,228,29.0
170,228,29.0
171,228,29.0
172,228,29.0
173,228,29.0
174,228,29.0
175,228,29.0
176,228,29.0
177,228,29.0
178,228,29.0
179,228,29.0
180,228,29.0
181,228,29.0
182,228,29.0
183,228,29.0
184,228,29.0
185,228,29.0
186,228,29.0
187,228,29.0
188,228,29.0
189,228,29.0
190,228,29.0
191,228,29.0
192,228,29.0
193,253,10.0
194,253,10.0
195,253,10.0
196,253,10.0
197,253,10.0
198,253,10.0
199,253,10.0
200,253,10.0
201,253,10.0
202,253,10.0
203,253,10.0
204,253,10.0
205,253,10.0
206,253,10.0
207,253,10.0
208,253,10.0
209,253,10.0
210,253,10.0
211,253,10.0
212,253,10.0
213,253,10.0
214,253,10.0
215,253,10.0
216,253,10.0
217,263,53.0
218,263,53.0
219,263,53.0
220,263,53.0
221,263,53.0
222,263,53.0
223,263,53.0
224,263,53.0
225,263,53.0
226,263,53.0
227,263,53.0
228,263,53.0
229,263,53.0
230,263,53.0
231,263,53.0
232,263,53.0
233,263,53.0
234,263,53.0
235,263,53.0
236,263,53.0
237,263,53.0
238,263,53.0
239,263,53.0
240,263,53.0
241,327,65.0
242,327,65.0
243,327,65.0
244,327,65.0
245,327,65.0
246,327,65.0
247,327,65.0
248,327,65.0
249,327,65.0
250,327,65.0
251,327,65.0
252,327,65.0
253,327,65.0
254,327,65.0
255,327,65.0
256,327,65.0
257,327,65.0
258,327,65.0
259,327,65.0
260,327,65.0
261,327,65.0
262,327,65.0
263,327,65.0
264,327,65.0
265,364,8.0
266,364,8.0
267,364,8.0
268,364,8.0
269,364,8.0
270,364,8.0
271,364,8.0
272,364,8.0
273,364,8.0
274,364,8.0
275,364,8.0
276,364,8.0
277,364,8.0
278,364,8.0
279,364,8.0
280,364,8.0
281,364,8.0
282,364,8.0
283,364,8.0
284,364,8.0
285,364,8.0
286,364,8.0
287,364,8.0
288,364,8.0
